season,week,franchise_id,player_id,status,salary,contractYear,contractInfo,as_of
2025,15,0004,17078,ROSTER,1.98,4,2025 2.04,2025-12-13
2025,15,0004,16213,ROSTER,4.47,2,2023 1.07,2025-12-13
2025,15,0004,12711,ROSTER,1.0,1,2025 R/F,2025-12-13
2025,15,0004,17047,ROSTER,1.11,4,2025 3.18,2025-12-13
2025,15,0004,17037,ROSTER,0.97,4,2025 4.19,2025-12-13
2025,15,0004,17241,ROSTER,0.9,3,2025 UDFA,2025-12-13
2025,15,0004,17167,ROSTER,0.9,3,2025 UDFA,2025-12-13
2025,15,0004,11936,ROSTER,1.9,2,2025 UFA,2025-12-13
2025,15,0004,15387,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0004,15362,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0004,15868,ROSTER,2.1,1,2025 UFA,2025-12-13
2025,15,0004,17256,ROSTER,0.9,3,2025 UDFA,2025-12-13
2025,15,0004,17186,ROSTER,0.9,3,2025 UDFA,2025-12-13
2025,15,0004,16767,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0004,15857,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0004,13299,ROSTER,24.75,2,2024 UFA,2025-12-13
2025,15,0004,16734,ROSTER,1.0,3,2024 4.19,2025-12-13
2025,15,0004,16572,ROSTER,2.1,1,2025 UFA,2025-12-13
2025,15,0004,16663,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0004,16201,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0004,12658,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0004,16246,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0004,15888,ROSTER,1.9,1,2025 UFA,2025-12-13
2025,15,0004,7394,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0004,16597,INJURED_RESERVE,2.46,3,2024 1.14,2025-12-13
2025,15,0004,17113,INJURED_RESERVE,1.49,4,2025 2.14,2025-12-13
2025,15,0004,15753,INJURED_RESERVE,10.5,5,2025 iEXT,2025-12-13
2025,15,0004,16227,INJURED_RESERVE,1.9,1,2025 UFA,2025-12-13
2025,15,0005,15808,ROSTER,3.55,5,2025 iEXT,2025-12-13
2025,15,0005,13742,ROSTER,5.2,1,2023 SRFA,2025-12-13
2025,15,0005,16189,ROSTER,1.64,2,2023 2.12,2025-12-13
2025,15,0005,14322,ROSTER,5.38,1,2024 SRFA,2025-12-13
2025,15,0005,16610,ROSTER,1.57,3,2024 2.11,2025-12-13
2025,15,0005,14163,ROSTER,18.57,3,2025 iEXT,2025-12-13
2025,15,0005,16716,ROSTER,1.13,3,2024 3.18,2025-12-13
2025,15,0005,16206,ROSTER,1.1,1,2023 4.14,2025-12-13
2025,15,0005,15754,ROSTER,6.66,6,2025 iEXT,2025-12-13
2025,15,0005,12626,ROSTER,26.48,1,2025 NEFT,2025-12-13
2025,15,0005,14109,ROSTER,34.11,3,2025 B/R,2025-12-13
2025,15,0005,17104,ROSTER,3.93,4,2025 1.08,2025-12-13
2025,15,0005,13116,ROSTER,37.71,4,2023 oEXT,2025-12-13
2025,15,0005,17039,ROSTER,1.23,4,2025 3.09,2025-12-13
2025,15,0005,14630,ROSTER,1.86,2,2025 UFA,2025-12-13
2025,15,0005,12752,ROSTER,3.8,2,2025 UFA,2025-12-13
2025,15,0005,15418,ROSTER,5.7,2,2025 UFA,2025-12-13
2025,15,0005,13671,ROSTER,12.5,1,2025 UFA,2025-12-13
2025,15,0005,14940,ROSTER,6.37,3,2022 oEXT,2025-12-13
2025,15,0005,16282,ROSTER,0.98,1,2023 UDFA,2025-12-13
2025,15,0005,16276,ROSTER,1.2,2,2023 3.19,2025-12-13
2025,15,0005,17184,ROSTER,0.9,3,2025 UDFA,2025-12-13
2025,15,0005,13713,ROSTER,1.1,1,2025 ERFA,2025-12-13
2025,15,0005,16662,ROSTER,1.02,2,2024 4.15,2025-12-13
2025,15,0005,17086,ROSTER,1.13,4,2025 3.16,2025-12-13
2025,15,0005,14823,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0005,16194,ROSTER,2.05,2,2023 2.04,2025-12-13
2025,15,0005,14251,ROSTER,10.0,1,2025 RRFA,2025-12-13
2025,15,0005,11383,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0005,16342,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0005,15933,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0005,17178,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0005,13774,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0005,11945,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0005,16788,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0005,15089,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0005,17143,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0005,13143,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0005,13281,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0005,12772,ROSTER,1.0,2,2025 R/F,2025-12-13
2025,15,0005,13133,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0005,13430,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0005,13719,ROSTER,1.1,1,2025 UFA,2025-12-13
2025,15,0005,13131,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0005,15124,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0005,16604,INJURED_RESERVE,1.29,3,2024 3.06,2025-12-13
2025,15,0005,16171,INJURED_RESERVE,2.13,2,2023 2.03,2025-12-13
2025,15,0005,17045,INJURED_RESERVE,1.69,4,2025 2.09,2025-12-13
2025,15,0005,17074,INJURED_RESERVE,7.03,4,2025 1.03,2025-12-13
2025,15,0005,13629,INJURED_RESERVE,2.4,1,2025 UFA,2025-12-13
2025,15,0005,13697,INJURED_RESERVE,3.09,2,2023 UFA,2025-12-13
2025,15,0005,17153,INJURED_RESERVE,1.01,4,2025 4.09,2025-12-13
2025,15,0005,16014,TAXI_SQUAD,1.9,1,2025 UFA,2025-12-13
2025,15,0005,17055,TAXI_SQUAD,1.04,4,2025 4.05,2025-12-13
2025,15,0006,14783,ROSTER,23.52,5,2024 iEXT,2025-12-13
2025,15,0006,15282,ROSTER,18.66,4,2024 iEXT,2025-12-13
2025,15,0006,15715,ROSTER,12.48,2,2025 iEXT,2025-12-13
2025,15,0006,15846,ROSTER,5.18,3,2025 iEXT,2025-12-13
2025,15,0006,15871,ROSTER,5.35,1,2022 5.02^,2025-12-13
2025,15,0006,14921,ROSTER,5.2,2,2023 SRFA,2025-12-13
2025,15,0006,16330,ROSTER,1.04,2,2023 5.18,2025-12-13
2025,15,0006,15761,ROSTER,7.25,4,2025 iEXT,2025-12-13
2025,15,0006,14225,ROSTER,24.24,4,2024 iEXT,2025-12-13
2025,15,0006,14889,ROSTER,3.14,1,2024 UFA,2025-12-13
2025,15,0006,15452,ROSTER,5.38,2,2024 SRFA,2025-12-13
2025,15,0006,16649,ROSTER,1.17,3,2024 3.14,2025-12-13
2025,15,0006,13268,ROSTER,3.41,1,2025 ORFA4,2025-12-13
2025,15,0006,11247,ROSTER,1.1,1,2025 ERFA,2025-12-13
2025,15,0006,17071,ROSTER,6.11,4,2025 1.04,2025-12-13
2025,15,0006,17134,ROSTER,1.79,4,2025 2.07,2025-12-13
2025,15,0006,17107,ROSTER,1.6,4,2025 2.11,2025-12-13
2025,15,0006,17146,ROSTER,0.99,4,2025 4.14,2025-12-13
2025,15,0006,17059,ROSTER,0.95,4,2025 5.09,2025-12-13
2025,15,0006,17064,ROSTER,0.96,4,2025 5.02,2025-12-13
2025,15,0006,16193,ROSTER,3.5,1,2025 UFA,2025-12-13
2025,15,0006,13633,ROSTER,5.0,1,2025 UFA,2025-12-13
2025,15,0006,15777,ROSTER,2.38,2,2025 UFA,2025-12-13
2025,15,0006,13681,ROSTER,9.2,1,2025 UFA,2025-12-13
2025,15,0006,15702,ROSTER,1.0,2,2025 R/F,2025-12-13
2025,15,0006,16654,ROSTER,1.0,3,2024 4.23,2025-12-13
2025,15,0006,14918,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0006,12218,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0006,13418,ROSTER,1.9,1,2025 UFA,2025-12-13
2025,15,0006,15864,ROSTER,3.59,3,2025 iEXT,2025-12-13
2025,15,0006,17220,ROSTER,1.1,1,2025 UFA,2025-12-13
2025,15,0006,15390,ROSTER,1.87,3,2024 iEXT,2025-12-13
2025,15,0006,12744,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0006,16281,ROSTER,1.06,2,2023 5.10,2025-12-13
2025,15,0006,15388,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0006,7836,ROSTER,10.0,1,2025 UFA,2025-12-13
2025,15,0006,15833,ROSTER,1.0,1,2025 UFA,2025-12-13
