season,week,franchise_id,player_id,contractInfo,status,salary,contractYear,as_of
2025,18,0004,15281,2025 iEXT,ROSTER,40.64,5,2026-01-01
2025,18,0004,15710,2025 FRFA,ROSTER,7.46,4,2026-01-01
2025,18,0004,14590,2025 ERFA,ROSTER,1.09,1,2026-01-01
2025,18,0004,14943,2025 ERFA,ROSTER,1.1,1,2026-01-01
2025,18,0004,16346,2025 ERFA,ROSTER,1.1,1,2026-01-01
2025,18,0004,11150,2025 B/R,ROSTER,7.6,2,2026-01-01
2025,18,0004,17121,2025 1.16,ROSTER,2.33,4,2026-01-01
2025,18,0004,17078,2025 2.04,ROSTER,1.98,4,2026-01-01
2025,18,0004,16213,2023 1.07,ROSTER,4.47,2,2026-01-01
2025,18,0004,12711,2025 R/F,ROSTER,1.0,1,2026-01-01
2025,18,0004,17047,2025 3.18,ROSTER,1.11,4,2026-01-01
2025,18,0004,17037,2025 4.19,ROSTER,0.97,4,2026-01-01
2025,18,0004,17241,2025 UDFA,ROSTER,0.9,3,2026-01-01
2025,18,0004,17167,2025 UDFA,ROSTER,0.9,3,2026-01-01
2025,18,0004,11936,2025 UFA,ROSTER,1.9,2,2026-01-01
2025,18,0004,15387,2025 UFA,ROSTER,1.8,1,2026-01-01
2025,18,0004,15362,2025 UFA,ROSTER,1.8,1,2026-01-01
2025,18,0004,15868,2025 UFA,ROSTER,2.1,1,2026-01-01
2025,18,0004,17256,2025 UDFA,ROSTER,0.9,3,2026-01-01
2025,18,0004,17186,2025 UDFA,ROSTER,0.9,3,2026-01-01
2025,18,0004,16767,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0004,15857,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0004,13299,2024 UFA,ROSTER,24.75,2,2026-01-01
2025,18,0004,16734,2024 4.19,ROSTER,1.0,3,2026-01-01
2025,18,0004,16572,2025 UFA,ROSTER,2.1,1,2026-01-01
2025,18,0004,16663,2025 UFA,ROSTER,1.8,1,2026-01-01
2025,18,0004,16246,2025 iEXT,ROSTER,2.23,3,2026-01-01
2025,18,0004,17034,2025 UFA,ROSTER,3.7,1,2026-01-01
2025,18,0004,16778,2025 UFA,ROSTER,1.8,1,2026-01-01
2025,18,0004,16757,2025 UFA,ROSTER,1.8,1,2026-01-01
2025,18,0004,15806,2022 1.15,ROSTER,2.89,1,2026-01-01
2025,18,0004,11247,2025 UFA,ROSTER,1.1,1,2026-01-01
2025,18,0004,16597,2024 1.14,INJURED_RESERVE,2.46,3,2026-01-01
2025,18,0004,17113,2025 2.14,INJURED_RESERVE,1.49,4,2026-01-01
2025,18,0004,15753,2025 iEXT,INJURED_RESERVE,10.5,5,2026-01-01
2025,18,0004,16227,2025 UFA,INJURED_RESERVE,1.9,1,2026-01-01
2025,18,0005,15808,2025 iEXT,ROSTER,3.55,5,2026-01-01
2025,18,0005,13742,2023 SRFA,ROSTER,5.2,1,2026-01-01
2025,18,0005,16189,2023 2.12,ROSTER,1.64,2,2026-01-01
2025,18,0005,14322,2024 SRFA,ROSTER,5.38,1,2026-01-01
2025,18,0005,16610,2024 2.11,ROSTER,1.57,3,2026-01-01
2025,18,0005,14163,2025 iEXT,ROSTER,18.57,3,2026-01-01
2025,18,0005,16716,2024 3.18,ROSTER,1.13,3,2026-01-01
2025,18,0005,16206,2023 4.14,ROSTER,1.1,1,2026-01-01
2025,18,0005,15754,2025 iEXT,ROSTER,6.66,6,2026-01-01
2025,18,0005,12626,2025 NEFT,ROSTER,26.48,1,2026-01-01
2025,18,0005,14109,2025 B/R,ROSTER,34.11,3,2026-01-01
2025,18,0005,17104,2025 1.08,ROSTER,3.93,4,2026-01-01
2025,18,0005,17039,2025 3.09,ROSTER,1.23,4,2026-01-01
2025,18,0005,14630,2025 UFA,ROSTER,1.86,2,2026-01-01
2025,18,0005,12752,2025 UFA,ROSTER,3.8,2,2026-01-01
2025,18,0005,15418,2025 UFA,ROSTER,5.7,2,2026-01-01
2025,18,0005,13671,2025 UFA,ROSTER,12.5,1,2026-01-01
2025,18,0005,14940,2022 oEXT,ROSTER,6.37,3,2026-01-01
2025,18,0005,16282,2023 UDFA,ROSTER,0.98,1,2026-01-01
2025,18,0005,16276,2023 3.19,ROSTER,1.2,2,2026-01-01
2025,18,0005,13713,2025 ERFA,ROSTER,1.1,1,2026-01-01
2025,18,0005,17086,2025 3.16,ROSTER,1.13,4,2026-01-01
2025,18,0005,14823,2025 UFA,ROSTER,1.8,1,2026-01-01
2025,18,0005,14251,2025 RRFA,ROSTER,10.0,1,2026-01-01
2025,18,0005,16342,2025 UFA,ROSTER,1.8,1,2026-01-01
2025,18,0005,17178,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0005,13774,2025 UFA,ROSTER,1.8,1,2026-01-01
2025,18,0005,13281,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0005,12772,2025 R/F,ROSTER,1.0,2,2026-01-01
2025,18,0005,13719,2025 UFA,ROSTER,1.1,1,2026-01-01
2025,18,0005,15124,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0005,17055,2025 4.05,ROSTER,1.04,4,2026-01-01
2025,18,0005,13697,2023 UFA,ROSTER,3.09,2,2026-01-01
2025,18,0005,11222,2025 UFA,ROSTER,1.8,1,2026-01-01
2025,18,0005,11760,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0005,15856,2025 UFA,ROSTER,2.8,1,2026-01-01
2025,18,0005,14957,2025 UFA,ROSTER,1.9,1,2026-01-01
2025,18,0005,15473,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0005,13633,2025 UFA,ROSTER,1.2,1,2026-01-01
2025,18,0005,15121,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0005,13164,2025 UFA,ROSTER,1.8,1,2026-01-01
2025,18,0005,15515,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0005,15812,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0005,17353,2025 UFA,ROSTER,1.1,1,2026-01-01
2025,18,0005,17143,2025 UFA,ROSTER,1.1,1,2026-01-01
