season,week,franchise_id,player_id,contractInfo,status,contractYear,salary,as_of
2025,12,0003,14147,2023 UFA,INJURED_RESERVE,3,19.36,2025-11-24
2025,12,0003,14900,2025 B/R,INJURED_RESERVE,2,9.5,2025-11-24
2025,12,0003,14179,2024 iEXT,INJURED_RESERVE,2,7.22,2025-11-24
2025,12,0004,14782,2023 iEXT,ROSTER,2,10.48,2025-11-24
2025,12,0004,15753,2025 iEXT,ROSTER,5,10.5,2025-11-24
2025,12,0004,14149,2024 iEXT,ROSTER,2,3.0,2025-11-24
2025,12,0004,16190,2023 1.10,ROSTER,2,3.45,2025-11-24
2025,12,0004,16223,2023 1.11,ROSTER,2,3.21,2025-11-24
2025,12,0004,14518,2023 UFA,ROSTER,1,2.73,2025-11-24
2025,12,0004,14836,2024 NEFToff,ROSTER,3,41.25,2025-11-24
2025,12,0004,9431,2024 SRFA,ROSTER,2,12.89,2025-11-24
2025,12,0004,16651,2024 2.01,ROSTER,3,2.15,2025-11-24
2025,12,0004,16677,2024 3.13,ROSTER,3,1.18,2025-11-24
2025,12,0004,13692,2024 UFA,ROSTER,2,2.97,2025-11-24
2025,12,0004,14910,2024 UFA,ROSTER,1,3.25,2025-11-24
2025,12,0004,16747,2024 4.16,ROSTER,3,1.01,2025-11-24
2025,12,0004,15281,2025 NEFT,ROSTER,1,42.24,2025-11-24
2025,12,0004,15710,2025 FRFA,ROSTER,4,7.46,2025-11-24
2025,12,0004,14590,2025 ERFA,ROSTER,1,1.09,2025-11-24
2025,12,0004,14943,2025 ERFA,ROSTER,1,1.1,2025-11-24
2025,12,0004,16346,2025 ERFA,ROSTER,1,1.1,2025-11-24
2025,12,0004,11150,2025 B/R,ROSTER,2,7.6,2025-11-24
2025,12,0004,14899,2024 R/F,ROSTER,1,1.1,2025-11-24
2025,12,0004,17121,2025 1.16,ROSTER,4,2.33,2025-11-24
2025,12,0004,17078,2025 2.04,ROSTER,4,1.98,2025-11-24
2025,12,0004,16213,2023 1.07,ROSTER,2,4.47,2025-11-24
2025,12,0004,12711,2025 R/F,ROSTER,1,1.0,2025-11-24
2025,12,0004,17047,2025 3.18,ROSTER,4,1.11,2025-11-24
2025,12,0004,17037,2025 4.19,ROSTER,4,0.97,2025-11-24
2025,12,0004,17241,2025 UDFA,ROSTER,3,0.9,2025-11-24
2025,12,0004,17167,2025 UDFA,ROSTER,3,0.9,2025-11-24
2025,12,0004,11936,2025 UFA,ROSTER,2,1.9,2025-11-24
2025,12,0004,15387,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0004,15362,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0004,15868,2025 UFA,ROSTER,1,2.1,2025-11-24
2025,12,0004,17256,2025 UDFA,ROSTER,3,0.9,2025-11-24
2025,12,0004,17186,2025 UDFA,ROSTER,3,0.9,2025-11-24
2025,12,0004,16227,2025 UFA,ROSTER,1,1.9,2025-11-24
2025,12,0004,16767,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0004,12754,2025 UFA,ROSTER,1,3.1,2025-11-24
2025,12,0004,15857,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0004,13299,2024 UFA,ROSTER,2,24.75,2025-11-24
2025,12,0004,16731,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0004,16734,2024 4.19,ROSTER,3,1.0,2025-11-24
2025,12,0004,16572,2025 UFA,ROSTER,1,2.1,2025-11-24
2025,12,0004,16663,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0004,16201,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0004,12658,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0004,16597,2024 1.14,INJURED_RESERVE,3,2.46,2025-11-24
2025,12,0004,17113,2025 2.14,INJURED_RESERVE,4,1.49,2025-11-24
2025,12,0005,15808,2025 iEXT,ROSTER,5,3.55,2025-11-24
2025,12,0005,13742,2023 SRFA,ROSTER,1,5.2,2025-11-24
2025,12,0005,16189,2023 2.12,ROSTER,2,1.64,2025-11-24
2025,12,0005,14322,2024 SRFA,ROSTER,1,5.38,2025-11-24
2025,12,0005,16610,2024 2.11,ROSTER,3,1.57,2025-11-24
2025,12,0005,14163,2025 iEXT,ROSTER,3,18.57,2025-11-24
2025,12,0005,16716,2024 3.18,ROSTER,3,1.13,2025-11-24
2025,12,0005,16206,2023 4.14,ROSTER,1,1.1,2025-11-24
2025,12,0005,15754,2025 iEXT,ROSTER,6,6.66,2025-11-24
2025,12,0005,12626,2025 NEFT,ROSTER,1,26.48,2025-11-24
2025,12,0005,14109,2025 B/R,ROSTER,3,34.11,2025-11-24
2025,12,0005,17104,2025 1.08,ROSTER,4,3.93,2025-11-24
2025,12,0005,13116,2023 oEXT,ROSTER,4,37.71,2025-11-24
2025,12,0005,17039,2025 3.09,ROSTER,4,1.23,2025-11-24
2025,12,0005,14630,2025 UFA,ROSTER,2,1.86,2025-11-24
2025,12,0005,12752,2025 UFA,ROSTER,2,3.8,2025-11-24
2025,12,0005,15418,2025 UFA,ROSTER,2,5.7,2025-11-24
2025,12,0005,13671,2025 UFA,ROSTER,1,12.5,2025-11-24
2025,12,0005,14940,2022 oEXT,ROSTER,3,6.37,2025-11-24
2025,12,0005,15292,2025 R/F,ROSTER,2,1.0,2025-11-24
2025,12,0005,16282,2023 UDFA,ROSTER,1,0.98,2025-11-24
2025,12,0005,16276,2023 3.19,ROSTER,2,1.2,2025-11-24
2025,12,0005,17153,2025 4.09,ROSTER,4,1.01,2025-11-24
2025,12,0005,17184,2025 UDFA,ROSTER,3,0.9,2025-11-24
2025,12,0005,17055,2025 4.05,ROSTER,4,1.04,2025-11-24
2025,12,0005,13713,2025 ERFA,ROSTER,1,1.1,2025-11-24
2025,12,0005,16662,2024 4.15,ROSTER,2,1.02,2025-11-24
2025,12,0005,17086,2025 3.16,ROSTER,4,1.13,2025-11-24
2025,12,0005,14823,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0005,16194,2023 2.04,ROSTER,2,2.05,2025-11-24
2025,12,0005,16702,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0005,14251,2025 RRFA,ROSTER,1,10.0,2025-11-24
2025,12,0005,8930,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0005,11383,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0005,16342,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0005,15933,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0005,16014,2025 UFA,ROSTER,1,1.9,2025-11-24
2025,12,0005,17178,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0005,13774,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0005,15177,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0005,16695,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0005,11945,2025 UFA,ROSTER,1,1.0,2025-11-24
