season,week,franchise_id,player_id,salary,contractInfo,status,contractYear
2022,22,0005,14930,0.9,2022 UFA,ROSTER,1
2022,22,0005,13959,0.9,2022 UFA,ROSTER,1
2022,22,0005,12785,1.3,2022 UFA,ROSTER,1
2022,22,0005,15829,0.85,2022 5.05,ROSTER,3
2022,22,0005,13479,0.9,2022 UFA,ROSTER,1
2022,22,0005,15727,2.1,2022 UFA,ROSTER,1
2022,22,0005,15549,0.9,2022 UFA,ROSTER,1
2022,22,0005,14849,0.9,2022 UFA,ROSTER,1
2022,22,0005,15391,0.9,2022 UFA,ROSTER,1
2022,22,0005,15780,0.77,2022 UDFA,ROSTER,3
2022,22,0005,14223,2.54,2019 3.15^,ROSTER,1
2022,22,0005,12287,3.99,2022 SRFA,ROSTER,1
2022,22,0005,14028,1.3,2022 UFA,ROSTER,1
2022,22,0005,11679,1.8,2022 UFA,ROSTER,1
2022,22,0005,15911,1.0,2022 3.15,ROSTER,4
2022,22,0005,15782,0.9,2022 UFA,ROSTER,1
2022,22,0005,14675,0.9,2022 UFA,ROSTER,1
2022,22,0005,15759,1.25,2022 2.16,INJURED_RESERVE,4
2022,22,0005,15256,2.65,2021 1.11,INJURED_RESERVE,3
2022,22,0005,14910,2.19,2022 iEXT,INJURED_RESERVE,4
2022,22,0005,15263,0.88,2021 5.01,INJURED_RESERVE,2
2022,22,0005,12141,0.9,2022 R/F,INJURED_RESERVE,2
2022,22,0005,14180,0.99,2021 R/F,INJURED_RESERVE,1
2022,22,0006,11757,10.22,2019 EXT,ROSTER,1
2022,22,0006,14225,2.54,2019 6.13^,ROSTER,1
2022,22,0006,14783,1.12,2020 3.07,ROSTER,2
2022,22,0006,14840,1.71,2020 2.04,ROSTER,2
2022,22,0006,15032,1.74,2021 EXT,ROSTER,2
2022,22,0006,13131,2.56,2019 EXT,ROSTER,3
2022,22,0006,11872,3.74,2021 SRFA,ROSTER,1
2022,22,0006,12801,36.87,2022 iEXT,ROSTER,2
2022,22,0006,15282,2.85,2021 1.10,ROSTER,3
2022,22,0006,15378,1.26,2021 2.15,ROSTER,3
2022,22,0006,15373,2.09,2021 1.15,ROSTER,3
2022,22,0006,13138,5.57,2020 FRFA,ROSTER,2
2022,22,0006,14921,0.94,2020 5.04,ROSTER,1
2022,22,0006,10292,6.05,2021 B/R,ROSTER,1
2022,22,0006,15376,1.02,2021 3.15,ROSTER,3
2022,22,0006,13268,0.9,2022 R/F,ROSTER,2
2022,22,0006,14902,0.9,2022 R/F,ROSTER,2
2022,22,0006,12720,0.99,2022 ERFA,ROSTER,1
2022,22,0006,12239,6.7,2022 B/R,ROSTER,1
2022,22,0006,13810,3.99,2022 SRFA,ROSTER,2
2022,22,0006,15715,1.89,2022 2.02,ROSTER,4
2022,22,0006,14080,2.87,2022 iEXT,ROSTER,2
2022,22,0006,15846,1.31,2022 2.14,ROSTER,4
2022,22,0006,15761,0.93,2022 4.04,ROSTER,4
2022,22,0006,15871,0.86,2022 5.02,ROSTER,4
2022,22,0006,15839,0.84,2022 5.09,ROSTER,4
2022,22,0006,15452,0.8,2021 UDFA,ROSTER,2
2022,22,0006,13133,1.4,2022 UFA,ROSTER,1
2022,22,0006,11359,0.9,2022 UFA,ROSTER,1
2022,22,0006,13748,1.4,2022 UFA,ROSTER,1
2022,22,0006,11670,1.4,2022 UFA,ROSTER,1
2022,22,0006,15855,0.87,2022 4.16,ROSTER,4
2022,22,0006,14067,0.9,2022 UFA,ROSTER,1
2022,22,0006,15909,0.77,2022 UDFA,ROSTER,3
2022,22,0006,13157,4.0,2019 EXT,ROSTER,1
2022,22,0006,15419,1.0,2022 UFA,ROSTER,1
2022,22,0006,15928,0.9,2022 UFA,ROSTER,1
2022,22,0006,12948,1.3,2022 UFA,ROSTER,1
2022,22,0006,12979,0.9,2022 UFA,ROSTER,1
2022,22,0006,15979,0.9,2022 UFA,ROSTER,1
2022,22,0006,15856,0.9,2022 UFA,ROSTER,1
2022,22,0006,15271,0.86,2021 5.15,ROSTER,3
2022,22,0006,12317,0.9,2022 UFA,ROSTER,1
2022,22,0006,14846,0.9,2022 UFA,ROSTER,1
2022,22,0006,15408,0.9,2022 UFA,ROSTER,1
2022,22,0006,13164,10.75,2020 EXT,INJURED_RESERVE,1
2022,22,0006,9431,18.81,2021 B/R,INJURED_RESERVE,1
2022,22,0006,13763,1.3,2022 UFA,INJURED_RESERVE,1
2022,22,0007,12711,4.25,2018 ORFA,ROSTER,1
2022,22,0007,10700,20.93,2020 SRFA,ROSTER,1
2022,22,0007,12218,8.66,2019 EXT,ROSTER,1
2022,22,0007,15284,3.09,2021 1.09,ROSTER,3
2022,22,0007,15288,2.33,2021 1.13,ROSTER,3
2022,22,0007,15289,1.64,2021 2.05,ROSTER,3
2022,22,0007,15331,1.19,2021 3.03,ROSTER,3
2022,22,0007,15396,0.86,2021 5.11,ROSTER,2
2022,22,0007,13236,2.2,2021 UFA,ROSTER,2
2022,22,0007,13325,0.99,2021 R/F,ROSTER,1
2022,22,0007,15321,0.8,2021 UDFA,ROSTER,2
2022,22,0007,15386,0.89,2021 4.18,ROSTER,2
2022,22,0007,15258,1.54,2021 2.07,ROSTER,3
2022,22,0007,14112,2.61,2019 2.01,ROSTER,1
2022,22,0007,12630,3.74,2021 UFA,ROSTER,1
2022,22,0007,13832,0.9,2022 R/F,ROSTER,2
2022,22,0007,14182,0.9,2022 R/F,ROSTER,2
2022,22,0007,13202,0.9,2022 R/F,ROSTER,2
2022,22,0007,14269,0.9,2022 R/F,ROSTER,2
2022,22,0007,15711,6.32,2022 1.03,ROSTER,4
2022,22,0007,15766,3.24,2022 1.09,ROSTER,4
2022,22,0007,15894,0.77,2022 UDFA,ROSTER,2
2022,22,0007,13606,1.4,2022 UFA,ROSTER,2
2022,22,0007,13762,3.6,2022 UFA,ROSTER,2
2022,22,0007,13704,2.5,2022 UFA,ROSTER,2
2022,22,0007,13635,24.6,2022 UFA,ROSTER,3
2022,22,0007,12702,3.3,2022 UFA,ROSTER,1
2022,22,0007,13690,3.0,2022 UFA,ROSTER,1
2022,22,0007,13760,5.0,2022 UFA,ROSTER,3
2022,22,0007,15721,1.02,2022 3.14,ROSTER,3
2022,22,0007,10945,1.3,2022 UFA,ROSTER,1
2022,22,0007,15813,0.77,2022 UDFA,ROSTER,2
2022,22,0007,15907,0.77,2022 UDFA,ROSTER,2
2022,22,0007,15912,0.77,2022 UDFA,ROSTER,2
2022,22,0007,15824,1.09,2022 3.08,ROSTER,2
2022,22,0007,15868,0.82,2022 5.26,ROSTER,2
2022,22,0007,15543,0.9,2022 UFA,ROSTER,1
2022,22,0007,14652,0.9,2022 UFA,ROSTER,1
2022,22,0007,15411,0.87,2021 5.07,ROSTER,2
2022,22,0007,13777,0.9,2022 UFA,ROSTER,1
2022,22,0007,15402,0.88,2021 5.02,ROSTER,3
2022,22,0007,14838,1.49,2020 2.08,ROSTER,2
2022,22,0007,14985,0.9,2022 UFA,ROSTER,1
2022,22,0007,15763,0.94,2022 4.03,INJURED_RESERVE,3
