season,contractInfo,id,salary,contractYear,conference,asof
2018,2017 EXT,11045,3.49,2.0,0,
2018,2018 5.03,13715,0.7,4.0,0,
2018,2018 UFA,11543,0.6,2.0,0,
2018,2018 UFA,13922,0.6,3.0,0,
2018,Inaugural,10945,2.06,1.0,0,
2018,2016 1.16,12626,2.3,2.0,0,
2018,2016 2.13,12676,1.57,2.0,0,
2018,2018 UFA,12789,0.6,2.0,0,
2018,2018 UFA,13679,0.6,2.0,0,
2018,2018 UFA,12208,0.6,2.0,0,
2018,Inaugural,10266,5.2,1.0,0,
2018,2017 FRFA,10823,3.19,2.0,0,
2018,2017 UFA,12287,1.21,1.0,0,
2018,2017 ORFA,12678,1.65,2.0,0,
2018,2018 UFA,12656,1.1,1.0,0,
2018,2018 UDFA,13742,0.5,3.0,0,
2018,2018 UFA,13945,0.6,3.0,0,
2018,2018 UFA,13424,0.6,2.0,0,
2018,2017 EXT,12801,3.05,4.0,0,
2018,2018 UFA,13414,1.2,1.0,0,
2018,Inaugural,10729,13.43,1.0,0,
2018,2018 4.01,13622,0.9,4.0,0,
2018,2018 ORFA,11795,3.5,2.0,0,
2018,2018 UFA,11303,1.2,1.0,0,
2018,2017 ORFA,10983,4.51,2.0,0,
2018,2017 3.08,13228,1.21,3.0,0,
2018,2016 3.05,12677,1.21,2.0,0,
2018,Inaugural,11232,24.2,2.0,0,
2018,Inaugural,10277,1.69,1.0,0,
2018,2018 FRFA,12634,5.0,3.0,0,
2018,2017 1.09,13188,3.19,3.0,0,
2018,2017 UFA,12742,1.43,2.0,0,
2018,2018 5.10,13684,0.7,4.0,0,
2018,2018 UFA,9577,0.6,1.0,0,
2018,2018 UFA,9853,1.6,1.0,0,
2018,2018 UFA,13731,1.6,1.0,0,
2018,2017 UDFA,13223,0.55,2.0,0,
2018,2017 UFA,12505,0.66,1.0,0,
2018,2018 UFA,12142,0.6,2.0,0,
2018,2017 2.09,13138,1.65,2.0,0,
2018,2018 UFA,11274,1.7,2.0,0,
2018,2018 FRFA,12221,6.8,2.0,0,
2018,2018 ORFA,11925,5.0,2.0,0,
2018,2018 2.11,13680,1.5,4.0,0,
2018,2018 3.01,13691,1.3,4.0,0,
2018,2018 UFA,11657,1.2,1.0,0,
2018,Inaugural,10276,9.8,1.0,0,
2018,2018 FRFA,10749,7.2,3.0,0,
2018,2018 UFA,11957,0.6,2.0,0,
2018,2018 UFA,12797,0.6,1.0,0,
2018,2017 UFA,12536,2.64,1.0,0,
2018,2017 SRFA,12702,2.86,1.0,0,
2018,2017 5.11,13226,0.66,3.0,0,
2018,2018 UFA,9075,2.2,2.0,0,
2018,2018 UFA,13738,2.3,2.0,0,
2018,2018 UFA,13229,2.0,3.0,0,
2018,2018 UFA,13917,0.6,3.0,0,
2018,2018 6.07,13708,0.6,3.0,0,
2018,2018 UFA,13620,1.1,2.0,0,
2018,2018 UFA,9861,0.6,2.0,0,
2018,2018 2.01,13593,2.0,4.0,0,
2018,Inaugural,10846,1.81,1.0,0,
2018,2018 UFA,12737,1.1,1.0,0,
2018,2018 2.02,13714,1.9,4.0,0,
2018,2018 UFA,12211,1.0,2.0,0,
2018,2017 FRFA,12305,3.19,3.0,0,
2018,2018 UFA,12796,0.6,1.0,0,
2018,2017 UFA,11327,0.66,1.0,0,
2018,2017 B/R,10722,14.52,3.0,0,
2018,2017 SRFA,10779,3.08,2.0,0,
2018,2017 UFA,9430,1.32,1.0,0,
2018,2018 UFA,11717,0.6,2.0,0,
2018,2018 3.10,13702,1.1,3.0,0,
2018,Inaugural,12171,17.55,3.0,0,
2018,Inaugural,12157,4.96,2.0,0,
2018,2017 UFA,13274,0.66,1.0,0,
2018,2018 1.10,13612,2.9,4.0,0,
2018,2018 UFA,13764,0.6,2.0,0,
2018,2018 UFA,10540,1.1,2.0,0,
2018,2018 UFA,10810,1.2,2.0,0,
2018,2018 UFA,13848,0.6,1.0,0,
2018,2017 4.01,13319,0.88,3.0,0,
2018,2017 UFA,12268,1.1,1.0,0,
2018,Inaugural,10753,3.15,2.0,0,
2018,2018 UFA,10642,0.6,1.0,0,
2018,2018 ORFA,12741,2.1,3.0,0,
2018,2017 SRFA,12745,8.69,2.0,0,
2018,2018 UFA,12988,1.2,1.0,0,
2018,2018 UFA,13264,1.1,2.0,0,
2018,Inaugural,10271,26.02,1.0,0,
2018,Inaugural,10738,7.26,2.0,0,
2018,Inaugural,9966,7.74,1.0,0,
2018,2018 1.06,13606,3.8,4.0,0,
2018,2017 1.11,13176,2.75,3.0,0,
2018,Inaugural,10292,5.08,1.0,0,
2018,2018 UFA,11263,3.0,2.0,0,
2018,2018 UFA,8265,0.6,1.0,0,
2018,2016 3.03,12717,1.33,1.0,0,
2018,Inaugural,9904,5.81,1.0,0,
2018,2017 UFA,11742,0.66,1.0,0,
2018,2018 UFA,11367,0.6,2.0,0,
2018,2018 EXT,13132,3.37,4.0,0,
2018,2018 UFA,13301,0.6,2.0,0,
