season,contractInfo,contractYear,salary,id,conference
2021,2021 UFA,1,1.30,11399,0
2021,2021 UFA,2,1.80,9902,0
2021,2020 2.12,3,1.22,14878,0
2021,2021 UFA,1,1.30,12828,0
2021,2020 UFA,1,6.38,10457,0
2021,2020 UFA,1,1.43,14337,0
2021,2020 UFA,2,2.53,9820,0
2021,2020 UFA,1,0.88,14964,0
2021,2020 3.13,3,0.96,14837,0
2021,2021 UFA,1,0.90,11281,0
2021,2019 1.16,2,2.45,14113,0
2021,2020 SRFA,2,3.85,12764,0
2021,2021 SRFA,1,3.40,12252,0
2021,2021 UFA,1,1.30,13204,0
2021,2019 2.16,2,1.55,14075,0
2021,2021 R/F,2,0.90,14558,0
2021,2021 4.14,4,0.82,15425,0
2021,2021 1.05,4,4.17,15254,0
2021,2021 SRFA,2,3.40,11872,0
2021,2020 3.04,2,1.06,14891,0
2021,2021 UFA,1,0.90,13715,0
2021,2019 1.03,2,6.38,14101,0
2021,2021 UDFA,3,0.73,15496,0
2021,2021 R/F,2,0.90,12476,0
2021,2019 2.05,2,2.06,14087,0
2021,2021 EXT,4,2.99,13284,0
2021,2020 EXT,2,16.05,12626,0
2021,2020 FRFA,2,5.06,12676,0
2021,2020 1.14,3,2.06,14779,0
2021,2021 5.15,4,0.78,15271,0
2021,2021 UFA,2,3.50,10266,0
2021,2021 UFA,1,1.20,10823,0
2021,2021 UFA,1,1.20,12287,0
2021,2021 UFA,2,4.70,12678,0
2021,2021 UFA,1,0.90,12656,0
2021,2020 1.15,3,1.95,14835,0
2021,2021 EXT,3,1.73,14940,0
2021,2021 UFA,1,1.20,13742,0
2021,2021 ERFA,1,0.90,13424,0
2021,2021 UFA,2,30,12801,0
2021,2020 R/F,1,0.88,13414,0
2021,2019 1.05,2,5.03,14138,0
2021,2019 5.03,2,0.86,14260,0
2021,2021 3.12,4,0.96,15366,0
2021,2021 UFA,2,3.10,12677,0
2021,2021 UFA,2,27,11232,0
2021,2021 UFA,1,0.90,11387,0
2021,2021 3.10,4,0.98,15361,0
2021,2021 UFA,3,3,13188,0
2021,2020 EXT,3,4.32,12742,0
2021,2021 4.04,4,0.86,15261,0
2021,2021 EXT,3,6.08,13684,0
2021,2021 UDFA,3,0.73,15452,0
2021,2021 UFA,1,0.90,15121,0
2021,2020 SRFA,2,3.63,13223,0
2021,2020 FRFA,3,5.06,13138,0
2021,2019 EXT,3,14.28,12221,0
2021,2021 UFA,1,1.20,14789,0
2021,2020 3.07,3,1.02,14783,0
2021,2021 ERFA,1,0.90,11382,0
2021,2021 UFA,2,1.30,12987,0
2021,2021 UFA,1,1.20,10276,0
2021,2021 UFA,4,1.30,12797,0
2021,2021 UFA,1,0.90,12702,0
2021,2021 UFA,1,0.90,9075,0
2021,2021 UFA,1,1,13738,0
2021,2021 RRFA,4,5,13917,0
2021,2020 UFA,1,3.30,13620,0
2021,2021 UFA,1,1.30,9861,0
2021,2021 EXT,5,15.53,13593,0
2021,2020 UFA,1,1.43,12737,0
2021,2019 1.02,2,7.38,14073,0
2021,2021 EXT,4,6.29,13714,0
2021,2021 B/R,2,7.70,12305,0
2021,2021 5.06,3,0.79,15262,0
2021,2020 1.08,3,3.23,14836,0
2021,2021 UFA,1,0.90,12796,0
2021,2020 3.01,3,1.11,14858,0
2021,2021 UFA,1,0.90,9430,0
2021,2020 1.05,3,4.47,14833,0
2021,2021 UFA,1,0.90,13702,0
2021,2021 UFA,1,1.60,12241,0
2021,2021 UFA,1,1.20,12700,0
2021,2021 UFA,1,1,14331,0
2021,2019 2.12,2,1.69,14208,0
2021,2019 SRFA,1,4.24,13274,0
2021,2018 1.10,1,3.86,13612,0
