season,contractInfo,id,salary,contractYear,conference
2025,2025 UDFA,17265,0.90,3,0
2025,2022 1.12,15755,3.45,1,0
2025,2024 iEXT,15779,4.82,5,0
2025,2023 UDFA,16342,0.98,1,0
2025,2025 UFA,14823,1.80,1,0
2025,2023 2.08,16187,1.80,2,0
2025,2023 SRFA,14921,5.20,2,0
2025,2022 3.04,15851,1.55,1,0
2025,2025 R/F,16663,1,2,0
2025,2023 UFA,13697,3.09,2,0
2025,2024 SRFA,14322,5.38,1,0
2025,2025 1.14,17081,2.58,4,0
2025,2025 UFA,13404,1.80,1,0
2025,2025 RRFA,13806,7,3,0
2025,2025 R/F,13303,1,2,0
2025,2025 UFA,15681,2.60,1,0
2025,2024 4.23,16654,1.00,3,0
2025,2024 oEXT,14303,3.08,3,0
2025,2025 2.15,17144,1.46,4,0
2025,2024 oEXT,13189,10.45,2,0
2025,2024 ORFA4,14879,3.43,3,0
2025,2025 ERFA,11247,1.10,1,0
2025,2024 4.21,16595,1.00,2,0
2025,2025 UFA,15253,6.65,2,0
2025,2025 5.07,17056,0.95,4,0
2025,2023 UDFA,16351,0.98,1,0
2025,2025 NEFT,11671,42.24,1,0
2025,2025 3.07,17135,1.26,4,0
2025,2025 UFA,12860,1.80,1,0
2025,2025 3.02,17103,1.37,4,0
2025,2025 UFA,14137,2,1,0
2025,2025 5.08,17097,0.95,4,0
2025,2025 ERFA,15799,1.09,1,0
2025,2025 2.11,17107,1.60,4,0
2025,2024 iEXT,15238,9.74,5,0
2025,2024 3.04,16694,1.33,3,0
2025,2025 ERFA,13713,1.10,1,0
2025,2025 R/F,9064,1,2,0
2025,2023 1.10,16190,3.45,2,0
2025,2024 R/F,12734,1.10,1,0
2025,2025 R/F,8851,1,2,0
2025,2022 4.10,15713,1.19,1,0
2025,2025 UFA,13933,6.50,1,0
2025,2025 ERFA,12217,1.10,1,0
2025,2025 UFA,15032,1,1,0
2025,2024 3.02,16619,1.38,3,0
2025,2024 UFA,13837,10.00,2,0
2025,2025 R/F,13770,1,2,0
2025,2024 iEXT,15331,4.12,2,0
2025,2025 R/F,14904,1,2,0
2025,2025 4.19,17037,0.97,4,0
2025,2025 5.10,17099,0.95,4,0
2025,2025 UFA,13888,1,1,0
2025,2025 UFA,14224,7.22,2,0
2025,2025 UFA,11760,1,1,0
2025,2024 UFA,13198,17.82,2,0
2025,2024 iEXT,14149,3.00,2,0
2025,2025 UFA,14244,1,1,0
2025,2025 UFA,13672,4,1,0
2025,2023 1.03,16162,7.21,2,0
2025,2025 4.17,17060,0.98,4,0
2025,2025 UFA,15499,1,1,0
2025,2025 5.21,17155,0.94,4,0
2025,2025 UFA,14982,1.80,1,0
2025,2025 R/F,13317,1,2,0
2025,2023 B/R,13163,26.62,1,0
2025,2025 UFA,13674,8,1,0
2025,2024 UFA,12611,18.70,3,0
2025,2025 1.13,17075,2.72,4,0
2025,2023 4.15,16251,1.10,2,0
2025,2024 R/F,15852,1.10,1,0
2025,2025 5.09,17059,0.95,4,0
2025,2025 1.16,17121,2.33,4,0
2025,2023 iEXT,14405,9.12,2,0
2025,2025 3.14,17138,1.15,4,0
2025,2024 4.03,16667,1.08,2,0
2025,2025 ERFA,15337,1.10,1,0
2025,2025 2.16,17120,1.43,4,0
2025,2025 oEXT,16702,1.70,2,0
2025,2023 UFA,14882,1.81,1,0
2025,2025 UFA,14247,5.51,2,0
2025,2025 R/F,16444,1,2,0
2025,2024 4.08,16688,1.04,2,0
2025,2025 4.06,17141,1.03,4,0
2025,2024 4.13,16661,1.02,3,0
2025,2022 1.01,15708,11.66,1,0
2025,2023 5.01,16235,1.08,1,0
2025,2025 UFA,14930,4.90,1,0
2025,2022 1.16,15834,2.76,1,0
2025,2025 UDFA,17199,0.90,3,0
2025,2025 UFA,15469,3.10,1,0
2025,2025 1.02,17044,8.23,4,0
2025,2025 UFA,12764,5.30,1,0
2025,2025 2.08,17137,1.74,4,0
2025,2022 3.05,15823,1.52,1,0
2025,2025 B/R,15254,18,1,0
2025,2025 UFA,11872,1,1,0
2025,2025 2.03,17072,2.05,4,0
2025,2025 ERFA,14213,1.10,1,0
2025,2024 1.01,16614,8.79,3,0
2025,2025 1.15,17068,2.45,4,0
2025,2025 UFA,14954,1,1,0
2025,2025 UFA,16352,1,1,0
2025,2025 UDFA,17105,0.90,3,0
2025,2025 1.06,17043,4.80,4,0
2025,2024 oEXT,13284,5.45,3,0
2025,2023 3.13,16280,1.25,2,0
2025,2025 NEFT,12626,26.48,1,0
2025,2025 oEXT,12676,6.35,1,0
2025,2023 iEXT,14779,15.14,4,0
2025,2025 oEXT,16303,3.20,1,0
2025,2025 UFA,10266,12.35,2,0
2025,2025 R/F,16460,1,2,0
2025,2024 5.15,16727,0.98,3,0
2025,2023 UFA,12678,6.53,1,0
2025,2025 1.12,17083,2.90,4,0
2025,2023 iEXT,14835,17.35,3,0
2025,2022 oEXT,14940,6.37,3,0
2025,2023 SRFA,13742,5.20,1,0
2025,2022 4.01,15836,1.25,1,0
2025,2025 UFA,14086,1.80,1,0
2025,2025 B/R,12801,28.50,2,0
2025,2022 iEXT,14167,14.95,2,0
2025,2023 iEXT,15441,3.63,1,0
2025,2022 iEXT,14138,13.60,1,0
2025,2025 R/F,15565,1,2,0
2025,2024 B/R,15366,6.64,3,0
2025,2025 R/F,13289,1,2,0
2025,2025 UFA,14182,5.80,1,0
2025,2025 UFA,13228,1,1,0
2025,2025 R/F,12677,1,2,0
2025,2024 UFA,11232,16.72,1,0
2025,2025 UFA,15361,3,1,0
2025,2025 UDFA,17234,0.90,3,0
