year,name,draft_team,stats_global_id,position,id,team,draft_year,twitter_username,cbs_id,stats_id,fleaflicker_id,status,rotoworld_id,jersey,rotowire_id,college,weight,height,draft_pick,draft_round,sportsdata_id,birthdate,nfl_id,espn_id
2018,"Wright, K.J.",SEA,400107,LB,10350,SEA,2011,KJ_WRIGHT34,1273493,24886,,,6633,34,7483,Mississippi St.,246,76,2,4,93ff0e6f-fee3-41d1-a913-6111cd9ebef1,617173200,k.j.wright/2495252,14140
2018,"Searcy, Da'Norris",BUF,400052,S,10351,CAR,2011,DSearcy25,1243007,24887,7579,,6634,21,7537,North Carolina,205,71,3,4,d0840d54-b383-4e26-9055-5a57067951e5,595659600,da'norrissearcy/2495339,14143
2018,"Acho, Sam",ARI,399354,LB,10353,CHI,2011,TheSamAcho,1245216,24890,7457,,6586,74,7454,Texas,259,75,6,4,94cbc2c8-07e4-4779-851b-b657b46a7920,589525200,samacho/2495101,14152
2018,"Stocker, Luke",TBB,334186,TE,10354,TEN,2011,LukeStocker88,1125485,24891,7589,,6552,88,7413,Tennessee,253,77,7,4,5b712aed-201c-43dd-b978-b7b6ef91178e,585118800,lukestocker/2495234,14099
2018,"Prosinski, Chris",JAC,323800,S,10366,FA,2011,,1823870,24908,7562,,6642,35,7628,Wyoming,213,73,24,4,203e67cc-fac1-4903-b888-98899c3a44b7,546584400,chrisprosinski/2499249,14072
2018,"Jones, Taiwan",OAK,386116,RB,10368,BUF,2011,TaiwanJonesNFL,1682469,24912,,,6499,36,7324,Eastern Washington,195,72,28,4,adadafa1-dc37-486d-8538-7db1e1b5f71e,585896400,taiwanjones/2495467,14167
2018,"Powell, Bilal",NYJ,403060,RB,10369,NYJ,2011,,1265393,24913,,,6594,29,7367,Louisville,204,70,29,4,4a38cda2-e92f-47f8-b324-0c34e09d83f2,593931600,bilalpowell/2495328,14129
2018,"Thomas, Julius",DEN,550870,TE,10372,FA,2011,Julius_Thomas,1755056,24916,,,6598,89,7415,Portland St.,262,77,32,4,87f6826a-f35a-4b49-9673-da54ccb9becd,583390800,juliusthomas/2495353,14204
2018,"House, Davon",GBP,410959,CB,10374,GBP,2011,DavonHouse,1620126,24918,,,6574,31,7518,New Mexico St.,195,72,34,4,bb6c7928-54f1-43bd-bf14-f2645644dda9,616050000,davonhouse/2495170,14157
2018,"Sherman, Anthony",ARI,400947,RB,10378,KCC,2011,Shermanator35,1277500,24923,,,6650,42,7560,Connecticut,242,70,5,5,e033ce15-9fc5-430b-90e2-90dfe52b21c1,597819600,anthonysherman/2495340,14135
2018,"Skrine, Buster",CLE,387769,CB,10379,NYJ,2011,BusterSkrine,1687803,24924,,,6651,24,7623,Tennessee-Chattanooga,185,69,6,5,639ff90f-285c-44a7-ba8d-6a47d0ecff71,609570000,busterskrine/2495343,14139
2018,"Klug, Karl",TEN,332351,DE,10383,FA,2011,,1115776,24929,7532,,6653,97,7574,Iowa,278,75,11,5,036e4aad-af9e-42cf-8bc6-bd0ffb0b7a73,575787600,karlklug/2495300,14079
2018,"Lewis, Dion",PHI,494724,RB,10389,TEN,2011,DionLewis28,1664753,24936,,,6483,33,7364,Pittsburgh,195,68,18,5,b25ba2bd-80bd-4295-9034-cf9242fb207b,654411600,dionlewis/2495469,14198
2018,"Yates, T.J.",HOU,323383,QB,10391,FA,2011,TJ_Yates,1823918,24939,,,6603,2,7485,North Carolina,217,76,21,5,20170818-32ab-4892-987e-ea75efcd8c4f,549176400,t.j.yates/2508123,14114
2018,"Kerley, Jeremy",NYJ,400313,WR,10392,FA,2011,JKerley_11,1273689,24940,7530,,6551,10,7392,TCU,188,69,22,5,769d7178-df4e-4127-8166-8116165921e8,596869200,jeremykerley/2495189,14151
2018,"Sherman, Richard",SEA,332735,CB,10393,SFO,2011,RSherman_25,1117823,24941,7581,,6660,25,7600,Stanford,205,75,23,5,29ac0dbd-2d1c-40da-88ba-36f0d3856d05,575701200,richardsherman/2495507,14086
2018,"Paul, Niles",WAS,406159,TE,10394,FA,2011,Niles_Paul84,1272502,24942,7556,,6661,43,7384,Nebraska,242,73,24,5,38f5843a-8318-4eb7-b517-c83d415e77a4,618642000,nilespaul/2495211,14156
2018,"Smith, Lee",NEP,334184,TE,10398,OAK,2011,,1276441,24946,,,6665,85,7425,Marshall,265,78,28,5,cf23126f-055b-4617-819b-bb4bcb84541a,564469200,leesmith/2495347,14215
2018,"Carter, Chris",PIT,409554,LB,10400,FA,2011,ccarter43,1621066,24949,7481,,6668,55,7480,Fresno St.,240,73,31,5,3a906e08-bcd2-4bb9-8b8a-ca816f998689,607842000,chriscarter/2508126,14174
2018,"McPhee, Pernell",BAL,495524,LB,10402,WAS,2011,,1664023,24952,7546,,6671,90,7457,Mississippi St.,269,75,34,5,4b62138a-e222-408c-8595-936d1a194eca,598338000,pernellmcphee/2495201,14202
2018,"Maxwell, Byron",SEA,332967,CB,10408,SEA,2011,,1242845,24960,,,6680,41,7603,Clemson,207,73,8,6,fc309bb0-d8f9-49a8-b2d3-5c6eea4dec24,572590800,byronmaxwell/2495310,14133
2018,"Clay, Charles",MIA,400516,TE,10409,BUF,2011,C42Clay,1265552,24961,,,6681,85,7424,Tulsa,246,75,9,6,04ca4fb9-194e-47fe-8fc8-adb5790a8e78,603349200,charlesclay/2495139,14145
2018,"Harris, Dwayne",DAL,324534,WR,10410,OAK,2011,D_Harris17,1245905,24963,7508,,6683,17,7385,East Carolina,215,70,11,6,5ed2cea8-e0c6-482c-9ee1-548c06612226,558766800,dwayneharris/2495159,14100
2018,"Robinson, Aldrick",WAS,401659,WR,10412,MIN,2011,AldrickRobinson,1273600,24965,,,6685,8,7399,SMU,185,70,13,6,b030b668-0f41-484f-8e94-9fc576b8af63,591080400,aldrickrobinson/2495331,14164
2018,"Taylor, Tyrod",BAL,399579,QB,10413,CLE,2011,TyrodTaylor,1243338,24967,7592,,6509,2,7357,Virginia Tech,217,73,15,6,7f3ef024-eb34-46af-8b9e-544cdf09378f,618123600,tyrodtaylor/2495240,14163
