season,id,franchise_id,amount,description,timestamp,ts_utc
2024,232,0009,1.02,D.J. Reed - 1 yr at $1.7 mil dropped 11/24/24,1734717458,2024-12-20T17:57:38+00:00
2024,233,0010,1.26,Cooper Rush - 1 yr at $2.1 mil dropped 11/24/24,1734717458,2024-12-20T17:57:38+00:00
2024,234,0014,1.02,Levi Onwuzurike - 1 yr at $1.7 mil dropped 12/3/24,1734717458,2024-12-20T17:57:38+00:00
2024,235,0016,1.4,Marcus Williams - 2 yrs at $2.34 mill dropped 12/18/24,1734717458,2024-12-20T17:57:38+00:00
2024,237,0002,1.02,Tommy Townsend - 1 yr at $1.7 mil dropped 11/28/24,1734717755,2024-12-20T18:02:35+00:00
2024,238,0003,3.36,Minkah Fitzpatrick - 1 yr at $5.6 mil dropped 12/20/24,1734717755,2024-12-20T18:02:35+00:00
2024,239,0004,1.77,Rasul Douglas - 2 yrs at $2.95 mil dropped 12/17/24,1734717755,2024-12-20T18:02:35+00:00
2024,24,0016,1.76,Eno Benjamin - 3 yrs at $2.94 dropped 8/5/23,1709587370,2024-03-04T21:22:50+00:00
2024,240,0008,16.16,Deebo Samuel - 3 yrs at $26.94 mil dropped 12/17/24,1734717755,2024-12-20T18:02:35+00:00
2024,241,0009,3.36,Geno Stone - 1 yr at $5.6 mil dropped 11/24/24,1734717755,2024-12-20T18:02:35+00:00
2024,242,0010,1.56,Tommy Devito - 1 yr at $2.6 mil dropped 11/28/24,1734717755,2024-12-20T18:02:35+00:00
2024,243,0014,4.32,Taysom Hill - 1 yr at $7.2 mil dropped 12/19/24,1734717755,2024-12-20T18:02:35+00:00
2024,244,0008,1.56,Jalen Ramsey - 1 yr at $2.6 mil dropped 12/17/24,1734717886,2024-12-20T18:04:46+00:00
2024,245,0009,1.2,Tyler Johnson - 1 yr at $2.0 mil dropped 11/26/24,1734717886,2024-12-20T18:04:46+00:00
2024,246,0010,1.26,Logan Hall - 1 yr at $2.1 mil dropped 12/10/24,1734717886,2024-12-20T18:04:46+00:00
2024,247,0025,1.02,Neville Hewitt - 1 yr at $1.7 mil dropped 12/17/24,1734718013,2024-12-20T18:06:53+00:00
2024,248,0032,2.04,Mike Gesicki - 1 yr at $3.4 mil dropped 12/16/24,1734718013,2024-12-20T18:06:53+00:00
2024,249,0005,1.02,Demarcus Lawrence - 1 yr at $1.7 mil dropped 12/20/24,1734718110,2024-12-20T18:08:30+00:00
2024,25,0017,3.24,Daniel Jones - 3 yrs at $5.4 dropped 11/9/23,1709587370,2024-03-04T21:22:50+00:00
2024,250,0002,1.02,Travis Homer - 1 yr at $1.7 mil dropped 12/21/24,1734885430,2024-12-22T16:37:10+00:00
2024,251,0010,1.76,Willie Gay - 1 yr at $2.94 mil dropped 12/20/24,1734885430,2024-12-22T16:37:10+00:00
2024,252,0002,1.02,Nate Landman - 1 yr at $1.7 mil dropped 12/21/24,1734885459,2024-12-22T16:37:39+00:00
2024,253,0002,1.02,Jaylen McCollough - 1 yr at $1.7 mil dropped 12/21/24,1734885490,2024-12-22T16:38:10+00:00
2024,254,0002,3.0,Jason Pinnock - 1 yr at $5.0 mil dropped 12/21/24,1734885520,2024-12-22T16:38:40+00:00
2024,255,0002,1.02,Isaiah McDuffie - 1 yr at $1.7 mil dropped 12/21/24,1734885553,2024-12-22T16:39:13+00:00
